DistrictNCESID,FIPSStateCode,LEANAME,StateLEAIDNumber,County,LOC_ADDRESS1,LOC_CITY,LOC_STATE,LOC_ZIPCODE,MAIL_ADDRESS1,MAIL_CITY,MAIL_STATE,MAIL_ZIPCODE,PhoneNumber,SCHOOLYEAR,OPERATIONSTATUS
1809000086,26,Reyes Ltd School,9141,Jeremyshire,02599 Brown Pine Suite 656,North Ryanberg,WV,19079,63044 Wilson Highway,Christinaborough,WA,71505,5880270452,2023-2024,Pending
1809000087,92,"Butler, Gibbs and Jones School",9605,New Charlesshire,0835 Angela Station,East Heather,IN,52803,752 Le Keys,East Steven,MD,17339,8015450190,2023-2024,Pending
1809000088,61,"Hill, Harris and Spencer School",9094,Davishaven,19752 Allen Mews Suite 000,Charlesmouth,MD,72308,38249 Kristi Manor Suite 934,Reneeside,NM,59327,6528037603,2022-2023,Closed
1809000089,80,Strong Group School,9118,Port Michaelchester,374 Powell Mountains,East Jennahaven,MI,27038,34228 Stephens Falls,Port Lori,MT,92936,3829238407,2021-2022,Pending
1809000090,68,James Group School,9250,South Amanda,21801 Suzanne Gardens Suite 746,Dorothyview,VA,10545,330 William Cliff,Wrightberg,PA,82666,0925554842,2022-2023,Open
1809000091,11,"Sanders, Wells and Alexander School",9690,Cardenasmouth,966 Dominguez Parkway Suite 933,Robinsonhaven,GA,67302,888 Stark Green,Turnerhaven,AR,96119,4710391403,2022-2023,Open
1809000092,72,"Ward, Cain and Smith School",9140,North Cathyburgh,67551 Casey Squares Apt. 209,Michaelborough,VI,50826,2272 Willis Wall,North Brian,MH,79731,2816459305,2023-2024,Closed
1809000093,22,Rowland-Lynch School,9675,Josephland,18486 Fisher Estate Suite 219,Port Jacobfort,LA,90474,644 Cynthia Pass,North Blaketown,WI,18653,6670521693,2022-2023,Pending
1809000094,60,Williams Group School,9000,New Jessica,6807 Ann Crossroad Apt. 921,Robertsview,IL,53341,081 Danielle Drives,Port Kathleen,DC,15510,0525911534,2021-2022,Pending
1809000095,91,Nichols-Miller School,9781,Samuelfurt,681 Douglas Locks Suite 212,North Patrick,OK,15689,494 Mays Ways,Moralesmouth,WA,88276,8538065580,2022-2023,Closed
1809000096,40,Rodriguez-Graham School,9760,New Andrew,95052 Adams Orchard,Smithbury,SD,86285,520 Fox Expressway Suite 497,North Jasmine,RI,79115,9759569286,2023-2024,Pending
1809000097,21,Phillips-Lewis School,9368,New Brenda,3959 Marc Divide Suite 828,South Timothyburgh,PA,47416,187 Kelly Groves,West Megan,MD,96297,0339287148,2023-2024,Open
1809000098,30,Allison-Newton School,9431,Brownville,2498 Parker Mall,Brooksland,VA,11010,098 Sosa Viaduct,New Jimmyton,WY,13015,1962998344,2022-2023,Open
1809000099,24,Taylor and Sons School,9306,Tylerport,943 Derek Ville,Dicksonburgh,ID,77674,8724 Rachel Squares,Latoyabury,AL,19300,9062278085,2021-2022,Open
1809000100,58,Beck-Ramos School,9731,Emmaborough,7458 Robinson Plaza,Jonesfurt,DE,77833,272 Green Street,Port Lacey,WA,09470,7568056682,2023-2024,Pending
1809000101,43,"Johnson, Jensen and Black School",9186,Clarkborough,18618 Curry Expressway Apt. 333,New Nicholasland,FM,72324,337 James Walks,New Davidborough,OH,76106,9647905530,2023-2024,Closed
1809000102,97,"Fleming, Petersen and Thomas School",9787,Ruizview,5419 Margaret Land Apt. 326,Port Andrew,LA,19372,218 Flores Stream Apt. 533,Adriennechester,SD,95614,6027142839,2023-2024,Closed
1809000103,13,"Hernandez, Armstrong and Baker School",9840,North Shelly,8620 Brady Ports,Lake Michaelville,CT,65286,009 Steven Green,Jacquelinefurt,GA,31642,9827303292,2023-2024,Closed
1809000104,29,Jones LLC School,9573,West Cindyshire,601 Maria Mission Apt. 554,Myerstown,LA,86078,19238 Shawn Well,Port Johnshire,NC,72291,5986341743,2023-2024,Closed
1809000105,36,Thomas-Johnson School,9586,Williamsport,9983 Mary Grove Apt. 643,Beardview,NY,53474,742 Jared Green,Lake Anthonyport,MD,82032,5621357725,2023-2024,Pending
1809000106,66,Silva-Downs School,9525,Andersontown,736 Robert Spring Suite 924,Alisonside,TN,89338,20155 Bradford Gardens Suite 974,South Richard,CT,01121,5348184118,2021-2022,Pending
1809000107,74,Mccall Inc School,9002,South Gabriel,2790 Smith Crossing Apt. 416,West Jennifer,IN,61202,60969 Justin Passage Suite 774,Joshuaburgh,HI,29630,5057943017,2021-2022,Open
1809000108,12,Bean-Guzman School,9696,North Travis,5039 Carlos Curve Apt. 886,Jaredchester,AK,71876,503 Decker Way Suite 784,North Christopherfurt,SD,54569,3476806472,2021-2022,Pending
1809000109,82,"Calhoun, Shannon and Saunders School",9706,Terrystad,9250 Gonzales Mill Suite 135,South Andrew,MA,20947,1129 Jeremy Fall,Lake Abigailchester,TX,57059,4674802721,2023-2024,Closed
1809000110,64,"Yates, Turner and Johnson School",9991,Martinmouth,43748 Nicholas Cliff,Williamsland,MN,01427,0009 Eric Ranch Apt. 719,North Stacey,OH,18189,1191317611,2021-2022,Open
1809000111,97,"Barron, Fernandez and Taylor School",9559,Jessicachester,80831 Kemp Pines,Annashire,ND,51932,91296 Moss Knoll Suite 000,West Joy,UT,27959,2177244202,2022-2023,Open
1809000112,59,"Davis, Mcguire and Thomas School",9132,Manuelville,6146 Johnson Isle,South Arthur,WV,55699,40415 Smith Springs Suite 324,Sarahaven,SC,15365,7399916404,2023-2024,Closed
1809000113,95,Rivera Group School,9973,New Amy,83787 Stuart Key,Davetown,MT,48169,3690 Christina Park,Toddburgh,FL,89463,6734129042,2021-2022,Open
1809000114,76,Sanders PLC School,9262,Floreschester,1495 King Haven Suite 980,Pinedahaven,NY,27108,6006 Stephanie Harbors Apt. 076,Andreahaven,NV,73361,9290953461,2022-2023,Open
1809000115,41,"Chavez, Anderson and Villa School",9050,Meghanberg,7583 Michael Pass Suite 689,West Patriciahaven,DC,19559,3007 Miller Pine,East Courtneyshire,DC,74314,1452750511,2022-2023,Pending
1809000116,48,"Parker, Carpenter and White School",9416,Lake Karenfurt,316 Acevedo Meadows Suite 626,Port Roger,WI,25676,27554 Cooper Estates Suite 253,Mooreside,OR,79739,5215245116,2021-2022,Open
1809000117,97,Chase-Shields School,9749,Lake Debra,82731 Mosley Coves,South Juliefurt,NH,64023,201 Crystal Village,Lawsonville,LA,11227,3462874526,2021-2022,Pending
1809000118,52,"Miller, Walsh and Montoya School",9010,Emmamouth,8647 Donald Extensions,Perezbury,CA,16970,1531 Anderson Freeway Suite 759,Valenzuelaview,WI,39297,9924388147,2023-2024,Closed
1809000119,33,Moreno-Rice School,9619,Bergmouth,57280 Drake Alley Apt. 802,North Manuelport,TN,25901,032 Moses Run,Paulaborough,MO,94836,9390706231,2021-2022,Closed
1809000120,38,Ware-Waters School,9280,Petersonchester,4847 Morales Isle Suite 403,Mullinsfurt,NE,97407,73293 Molly Groves,New Melissa,TN,64065,7362108011,2021-2022,Open
1809000121,19,"Clark, Howard and Garcia School",9109,Freemanmouth,399 Morrison Court,South Mary,CT,98681,224 Sparks Islands,South Valerie,MA,72097,1600356356,2021-2022,Open
1809000122,41,Olson Group School,9163,Johnton,2184 Smith Valleys Apt. 289,Erinmouth,PR,91371,4740 Trevino Valleys,Shepherdberg,AS,39898,4927709526,2021-2022,Closed
1809000123,26,"Aguirre, Moore and Fisher School",9355,Kaneside,5285 Lisa Course,North James,MH,94559,65459 Ramos Path,West Morganchester,PW,29707,0896539542,2021-2022,Open
1809000124,42,Gomez Group School,9968,West Lisa,0126 Miller Springs,New Carlos,MD,97808,912 Katie Radial Apt. 743,South Charleston,PA,25156,7384991258,2023-2024,Open
1809000125,74,"Collins, Payne and Perez School",9991,Alexanderchester,54514 Michael Stream Apt. 960,Hallchester,OK,61452,29781 Elizabeth Union Apt. 266,Lake Jeffrey,OH,14592,0664260568,2022-2023,Open
1809000126,41,"Sanchez, Johnson and Vasquez School",9659,Port Mariamouth,293 Austin Crest Suite 554,East Barbara,MT,36638,1972 Floyd Lodge,Andersonmouth,FM,82150,0983386739,2022-2023,Closed
1809000127,37,Hobbs LLC School,9668,West Danielhaven,640 Taylor Passage,Lake Sean,RI,35897,39435 Heather Grove Suite 540,Heidistad,LA,26028,3333618425,2022-2023,Pending
1809000128,99,"Williams, Hamilton and Rodriguez School",9365,New Kevin,86852 Lauren Heights,Gordonport,IA,71147,73564 Hebert Cove,South Lisa,MI,66907,1767594724,2021-2022,Pending
1809000129,38,Watkins-Jones School,9564,Port Phillipport,9480 Richard Streets,Millsbury,FM,32665,118 Kenneth Oval,South Kimberly,PA,78991,5205218593,2022-2023,Pending
1809000130,20,"Vega, Mills and Wolfe School",9348,Mitchellland,64853 Green Tunnel,Port Mariaberg,AZ,88501,4547 Matthew Islands,Port Michael,MN,47480,3069846908,2023-2024,Pending
1809000131,91,Thomas-Conley School,9217,Lake Robinport,539 Kathryn Shores,Stewartport,AK,09015,6327 Eric Alley Apt. 901,Katrinabury,VI,30145,4495857980,2021-2022,Pending
1809000132,58,Garcia Inc School,9510,New Anitashire,7609 Warner Fords Apt. 948,Emilyhaven,WV,07092,936 Hawkins Inlet Apt. 594,Shannonville,PW,77461,5165015918,2022-2023,Pending
1809000133,48,Smith Ltd School,9113,Rodrigueztown,348 Mueller Greens Apt. 697,Parkertown,WV,76028,51267 Cervantes Harbors Apt. 287,Greenville,CO,90556,8045550652,2021-2022,Open
1809000134,27,"Gordon, Flores and Nelson School",9182,Charlesstad,9259 Neal Overpass,South Ericstad,IN,15379,7690 Johnson Bridge,Coffeyborough,UT,23579,1680412004,2022-2023,Closed
1809000135,58,Pham-Cook School,9434,Josephbury,837 Erika Light,Bradborough,VT,97367,308 Hernandez Stravenue,New Travis,NM,57322,7420545436,2022-2023,Open
1809000136,42,Barajas PLC School,9462,Patriciaburgh,82921 Edward Ferry,Pricestad,LA,45626,90555 Valerie Springs,Michaelchester,ID,47804,2382928159,2021-2022,Pending
1809000137,46,Jensen LLC School,9830,Taylormouth,6515 Jordan Turnpike,West Seth,CO,49543,5263 Eric Mount Suite 930,Derekmouth,MT,74898,0649360936,2021-2022,Pending
1809000138,13,"Coleman, Powell and Sullivan School",9977,Gregorymouth,972 Perez Crossroad,Andrewmouth,WY,41606,8349 Travis Dam Suite 350,Cindybury,PW,01377,9624983269,2021-2022,Open
1809000139,23,"Robbins, Taylor and Garner School",9408,Sandovalchester,2474 Mckinney Rapid Apt. 732,Farmermouth,AZ,97079,84614 Martin Throughway Apt. 422,Jasonshire,OR,21365,1249442049,2021-2022,Pending
1809000140,24,Cook-Larson School,9454,Melissaside,56975 David Manor,New Valerieview,VI,72000,200 Paul Lakes Apt. 558,Ryanville,CT,81479,3586201053,2022-2023,Open
1809000141,71,Clark-Davis School,9399,West Joe,66330 Barnes Turnpike,New Cristian,WV,81238,548 Victor Forest Apt. 914,Davidsonton,CT,43469,1941349116,2022-2023,Closed
1809000142,59,Anderson and Sons School,9629,Lake Ashleymouth,836 Jeff Via Apt. 524,South Shannonfort,KS,63283,2939 Bell Greens,Jacksonside,NM,14908,9594047363,2021-2022,Pending
1809000143,90,Ward Inc School,9299,Penningtontown,006 Chavez Row,New Patrickchester,KY,97029,0051 Natalie Pine,Port Ashleyside,AZ,28321,4112128337,2023-2024,Open
1809000144,63,Williams PLC School,9494,Rosalesbury,7133 Eric Well,Fisherborough,OH,05342,79204 Aguilar Shores Suite 965,Port Caleb,VI,70581,5438644655,2023-2024,Open
1809000145,50,Lee-Sanchez School,9622,West Jason,48561 Gonzales Court Apt. 184,Alanfurt,ID,03753,66566 Joseph Mountains,North Austinside,IA,22021,6284731429,2023-2024,Pending
